"","id","use","flag","text"
"60","C1613","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"61","C1613","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"62","C1613","Commercial Hydro Development","No","
							 
						"
"63","C1613","Commercial Power Generation Development","No","
							 
						"
"64","C1613","Commercial Timber Harvest","No","
							 
						"
"65","C1613","Commercial Tourism (Services and/or Facilities), Existing","Yes","
							 
						"
"66","C1613","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism facilities can be considered during the planning for an individual reserve."
"67","C1613","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"68","C1613","Energy Transmission and Communications Corridors, New","No","
							 
						"
"69","C1613","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"70","C1613","Food Harvest (Commercial), New","Maybe","
							 
						"
"71","C1613","Mineral Exploration and Development","No","
							 
						"
"72","C1613","Peat Extraction","No","
							 
						"
"73","C1613","Wild Rice Harvesting, Existing","Yes","
							 
						"
"74","C1613","Wild Rice Harvesting, New","Maybe","
							 
						"
"75","C1613","Crown Land Disposition, Commercial or Public Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Tourism facilities can apply to upgrade tenure from LUP to lease."
"76","C1613","Crown Land Disposition, Private Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Existing authorized seasonal recreation camps may be eligible for enhanced tenure, but not purchase of land."
"77","C1613","Fire Suppression","Yes","Fire suppression policies are similar to adjacent Crown lands, unless alternative fire policies have been developed through a planning process."
"78","C1613","Fish Habitat Management","Maybe","
							 
						"
"79","C1613","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"80","C1613","Insect/disease Suppression","Maybe","
							 
						"
"81","C1613","Inventory/Monitoring","Yes","
							 
						"
"82","C1613","Prescribed Burning","Maybe","
							 
						"
"83","C1613","Private Recreation Camp, Existing","Yes","Existing camps permitted to continue, and may be eligible for enhanced tenure, but not purchase of land."
"84","C1613","Private Recreation Camp, New","No","
							 
						"
"85","C1613","Road Development and Maintenance, Existing","Yes","Existing roads can continue to be used.  Continued use will include maintenance and may include future upgrading."
"86","C1613","Road Development and Maintenance, New","Maybe","New roads for resource extraction will not be permitted, with the exception of necessary access to existing forest reserves for mineral exploration and development."
"87","C1613","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process."
"88","C1613","Wildlife Population Management","Maybe","
							 
						"
"89","C1613","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"90","C1613","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"91","C1613","Campgrounds","Maybe","
							 
						"
"92","C1613","Food Gathering","Yes","
							 
						"
"93","C1613","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"94","C1613","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"95","C1613","Motor Boat Use, Commercial","Yes","
							 
						"
"96","C1613","Motor Boat Use, Private","Yes","
							 
						"
"97","C1613","Mountain Bike Use","Yes","Existing use on trails permitted."
"98","C1613","Non-motorized Recreation Travel","Yes","
							 
						"
"99","C1613","Rock Climbing","Maybe","
							 
						"
"100","C1613","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"101","C1613","Snowmobiling, On Trails","Yes","
							 
						"
"102","C1613","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"103","C1613","Trail Development, Existing","Yes","Existing authorized trails (e.g. hiking, skiing, snowmobiling) can continue unless there are significant demonstrated conflicts."
"104","C1613","Trail Development, New","Maybe","Development of trails for a variety of activities (e.g., hiking, cross-country skiing, cycling, horseback riding, snowmobiling) can be considered as part of planning for an individual reserve."
"105","C145","Aggregate Extraction","No","
							 
						"
"106","C145","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"107","C145","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"108","C145","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"109","C145","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"110","C145","Commercial Fishing, Existing","No","The activity does not presently occur."
"111","C145","Commercial Fishing, New","No","
							 
						"
"112","C145","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"113","C145","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"114","C145","Commercial Hydro Development","No","
							 
						"
"115","C145","Commercial Power Generation Development","No","
							 
						"
"116","C145","Commercial Timber Harvest","No","
							 
						"
"117","C145","Commercial Tourism (Services and/or Facilities), Existing","Yes","Existing authorized facilities can continue, unless there are significant demonstrated conflicts."
"118","C145","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism facilities can be considered during the planning for an individual reserve."
"119","C145","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"120","C145","Energy Transmission and Communications Corridors, New","No","
							 
						"
"121","C145","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"122","C145","Food Harvest (Commercial), New","Maybe","
							 
						"
"123","C145","Mineral Exploration and Development","No","
							 
						"
"124","C145","Peat Extraction","No","
							 
						"
"125","C145","Wild Rice Harvesting, Existing","Yes","
							 
						"
"126","C145","Wild Rice Harvesting, New","Maybe","
							 
						"
"127","C145","Crown Land Disposition, Commercial or Public Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g., reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Tourism facilities can apply to upgrade tenure from LUP to lease."
"128","C145","Crown Land Disposition, Private Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g., reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Existing authorized seasonal recreation camps may be eligible for enhanced tenure, but not purchase of land."
"129","C145","Fire Suppression","Yes","Fire suppression policies are similar to adjacent Crown lands, unless alternative fire policies have been developed through a planning process."
"130","C145","Fish Habitat Management","Maybe","
							 
						"
"131","C145","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"132","C145","Insect/disease Suppression","Maybe","
							 
						"
"133","C145","Inventory/Monitoring","Yes","
							 
						"
"134","C145","Prescribed Burning","Maybe","
							 
						"
"135","C145","Private Recreation Camp, Existing","Yes","Existing camps permitted to continue, and may be eligible for enhanced tenure, but not purchase of land."
"136","C145","Private Recreation Camp, New","No","
							 
						"
"137","C145","Road Development and Maintenance, Existing","Yes","Existing roads can continue to be used.  Continued use will include maintenance and may include future upgrading."
"138","C145","Road Development and Maintenance, New","Maybe","New roads for resource extraction will not be permitted, with the exception of necessary access to existing forest reserves for mineral exploration and development."
"139","C145","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process."
"140","C145","Wildlife Population Management","Maybe","
							 
						"
"141","C145","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"142","C145","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"143","C145","Campgrounds","Maybe","
							 
						"
"144","C145","Food Gathering","Yes","
							 
						"
"145","C145","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"146","C145","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"147","C145","Motor Boat Use, Commercial","Yes","
							 
						"
"148","C145","Motor Boat Use, Private","Yes","
							 
						"
"149","C145","Mountain Bike Use","Yes","Existing use on trails permitted."
"150","C145","Non-motorized Recreation Travel","Yes","
							 
						"
"151","C145","Rock Climbing","Maybe","
							 
						"
"152","C145","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"153","C145","Snowmobiling, On Trails","Yes","
							 
						"
"154","C145","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"155","C145","Trail Development, Existing","Yes","
							 
						"
"156","C145","Trail Development, New","Maybe","Development of trails for a variety of activities (e.g. hiking, cross-country skiing, cycling, horseback riding, snowmobiling) can be considered as part of planning for an individual reserve."
"157","C194","Aggregate Extraction","No","
							 
						"
"158","C194","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"159","C194","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"160","C194","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"161","C194","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"162","C194","Commercial Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"163","C194","Commercial Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"164","C194","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"165","C194","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"166","C194","Commercial Hydro Development","No","
							 
						"
"167","C194","Commercial Power Generation Development","No","
							 
						"
"168","C194","Commercial Timber Harvest","No","
							 
						"
"169","C194","Commercial Tourism (Services and/or Facilities), Existing","Yes","Existing authorized facilities can continue, unless there are significant demonstrated conflicts."
"170","C194","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism facilities can be considered during the planning for an individual reserve."
"171","C194","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"172","C194","Energy Transmission and Communications Corridors, New","No","
							 
						"
"173","C194","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"174","C194","Food Harvest (Commercial), New","Maybe","
							 
						"
"175","C194","Mineral Exploration and Development","No","
							 
						"
"176","C194","Peat Extraction","No","
							 
						"
"177","C194","Wild Rice Harvesting, Existing","Yes","
							 
						"
"178","C194","Wild Rice Harvesting, New","Maybe","
							 
						"
"179","C194","Crown Land Disposition, Commercial or Public Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in th"
"180","C194","Crown Land Disposition, Private Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in th"
"181","C194","Fire Suppression","Yes","Fire suppression policies are similar to adjacent Crown lands, unless alternative fire policies have been developed through a planning process."
"182","C194","Fish Habitat Management","Maybe","
							 
						"
"183","C194","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"184","C194","Insect/disease Suppression","Maybe","
							 
						"
"185","C194","Inventory/Monitoring","Yes","
							 
						"
"186","C194","Prescribed Burning","Maybe","
							 
						"
"187","C194","Private Recreation Camp, Existing","Yes","Existing camps permitted to continue, and may be eligible for enhanced tenure, but not purchase of land."
"188","C194","Private Recreation Camp, New","No","
							 
						"
"189","C194","Road Development and Maintenance, Existing","Yes","Existing roads can continue to be used.  Continued use will include maintenance and may include future upgrading."
"190","C194","Road Development and Maintenance, New","Maybe","New roads for resource extraction will not be permitted, with the exception of necessary access to existing forest reserves for mineral exploration and development."
"191","C194","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process."
"192","C194","Wildlife Population Management","Maybe","
							 
						"
"193","C194","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"194","C194","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"195","C194","Campgrounds","Maybe","
							 
						"
"196","C194","Food Gathering","Yes","
							 
						"
"197","C194","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"198","C194","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"199","C194","Motor Boat Use, Commercial","Yes","
							 
						"
"200","C194","Motor Boat Use, Private","Yes","
							 
						"
"201","C194","Mountain Bike Use","Yes","Existing use on trails permitted."
"202","C194","Non-motorized Recreation Travel","Yes","
							 
						"
"203","C194","Rock Climbing","Maybe","
							 
						"
"204","C194","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"205","C194","Snowmobiling, On Trails","Yes","
							 
						"
"206","C194","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"207","C194","Trail Development, Existing","Yes","Existing authorized trails (e.g. hiking, skiing, snowmobiling) can continue unless there are significant demonstrated conflicts."
"208","C194","Trail Development, New","Maybe","Development of trails for a variety of activities (e.g. hiking, cross-country skiing, cycling, horseback riding, snowmobiling) can be considered as part of planning for an individual reserve."
"209","C2232","Aggregate Extraction","No","
							 
						"
"210","C2232","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"211","C2232","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"212","C2232","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"213","C2232","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"214","C2232","Commercial Fishing, Existing","No","No capability within the site."
"215","C2232","Commercial Fishing, New","No","No capability within the site."
"216","C2232","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"217","C2232","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"218","C2232","Commercial Hydro Development","No","
							 
						"
"219","C2232","Commercial Power Generation Development","No","
							 
						"
"220","C2232","Commercial Timber Harvest","No","
							 
						"
"221","C2232","Commercial Tourism (Services and/or Facilities), Existing","No","No tourism facilities exist within the site."
"222","C2232","Commercial Tourism (Services and/or Facilities), New","No","New tourism facilities will be permitted."
"223","C2232","Energy Transmission and Communications Corridors, Existing","No","None on site."
"224","C2232","Energy Transmission and Communications Corridors, New","No","
							 
						"
"225","C2232","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"226","C2232","Food Harvest (Commercial), New","Maybe","
							 
						"
"227","C2232","Mineral Exploration and Development","No","
							 
						"
"228","C2232","Peat Extraction","No","
							 
						"
"229","C2232","Wild Rice Harvesting, Existing","Yes","No known capability on the site."
"230","C2232","Wild Rice Harvesting, New","Maybe","No known capability on the site."
"231","C2232","Crown Land Disposition, Commercial or Public Use","No","No commercial land or development currently exists in the area; no future disposition or development will be permitted."
"232","C2232","Crown Land Disposition, Private Use","No","No private land or development currently exists in the area; no future disposition or development will be permitted."
"233","C2232","Fire Suppression","Yes","Forest fire protection will be carried out as on surrounding public lands, unless alternative direction is approved through a Statement of Conservation Interest or a Resource Management Plan. Whenever feasible 'light on the land' techniques, which do not unduly disturb the landscape will be employed."
"234","C2232","Fish Habitat Management","Maybe","Subject to existing policies."
"235","C2232","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"236","C2232","Insect/disease Suppression","Maybe","
							 
						"
"237","C2232","Inventory/Monitoring","Yes","
							 
						"
"238","C2232","Prescribed Burning","Maybe","Subject to the development of a more detailed resource management plan."
"239","C2232","Private Recreation Camp, Existing","No","No private recreation camps currently exist in the area."
"240","C2232","Private Recreation Camp, New","No","
							 
						"
"241","C2232","Road Development and Maintenance, Existing","No","No roads exist in this site."
"242","C2232","Road Development and Maintenance, New","No","New roads for resource extraction will not be permitted."
"243","C2232","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process."
"244","C2232","Wildlife Population Management","Maybe","
							 
						"
"245","C2232","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"246","C2232","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"247","C2232","Campgrounds","No","
							 
						"
"248","C2232","Food Gathering","Yes","
							 
						"
"249","C2232","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"250","C2232","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"251","C2232","Motor Boat Use, Commercial","Yes","
							 
						"
"252","C2232","Motor Boat Use, Private","Yes","
							 
						"
"253","C2232","Mountain Bike Use","Yes","Existing use on trails permitted."
"254","C2232","Non-motorized Recreation Travel","Yes","This is the preferred mode of access within the site."
"255","C2232","Rock Climbing","Maybe","No known capability on the site."
"256","C2232","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"257","C2232","Snowmobiling, On Trails","Yes","
							 
						"
"258","C2232","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"259","C2232","Trail Development, Existing","Yes","Existing authorized trails (e.g. hiking, skiing, snowmobiling) can continue unless there are significant demonstrated conflicts."
"260","C2232","Trail Development, New","Maybe","New trails can be considered through planning."
"261","C2354","Aggregate Extraction","No","
							 
						"
"262","C2354","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"263","C2354","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"264","C2354","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"265","C2354","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"266","C2354","Commercial Fishing, Existing","No","No operations exist within this site."
"267","C2354","Commercial Fishing, New","No","
							 
						"
"268","C2354","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue"
"269","C2354","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"270","C2354","Commercial Hydro Development","No","
							 
						"
"271","C2354","Commercial Power Generation Development","No","
							 
						"
"272","C2354","Commercial Timber Harvest","No","
							 
						"
"273","C2354","Commercial Tourism (Services and/or Facilities), Existing","No","No tourism facilities exist within the site."
"274","C2354","Commercial Tourism (Services and/or Facilities), New","No","New tourism facilities will not be permitted."
"275","C2354","Energy Transmission and Communications Corridors, Existing","No","None on site."
"276","C2354","Energy Transmission and Communications Corridors, New","No","
							 
						"
"277","C2354","Food Harvest (Commercial), Existing","Yes","
							 
						"
"278","C2354","Food Harvest (Commercial), New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"279","C2354","Mineral Exploration and Development","No","
							 
						"
"280","C2354","Peat Extraction","No","
							 
						"
"281","C2354","Wild Rice Harvesting, Existing","No","No known capability on the site."
"282","C2354","Wild Rice Harvesting, New","Maybe","No known capability on the site."
"283","C2354","Crown Land Disposition, Commercial or Public Use","No","Sale of lands is not permitted.  No commercial land or development currently exists in the area; no future disposition or development will be permitted"
"284","C2354","Crown Land Disposition, Private Use","No","Sale of lands is not permitted.  No private land or development currently exists in the area; no future disposition or development will be permitted"
"285","C2354","Fire Suppression","Yes","All fire occurrences will be aggressively suppressed."
"286","C2354","Fish Habitat Management","Maybe","
							 
						"
"287","C2354","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"288","C2354","Insect/disease Suppression","Maybe","
							 
						"
"289","C2354","Inventory/Monitoring","Yes","
							 
						"
"290","C2354","Prescribed Burning","Maybe","
							 
						"
"291","C2354","Private Recreation Camp, Existing","Yes","One private recreation camp currently exists in the Conservation Reserve; this site is currently under a LUP and will not be transferable"
"292","C2354","Private Recreation Camp, New","No","
							 
						"
"293","C2354","Road Development and Maintenance, Existing","No","No roads exist in this site."
"294","C2354","Road Development and Maintenance, New","No","New roads for resource extraction will not be permitted."
"295","C2354","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process"
